tconst,primaryTitle,originalTitle,startYear,runtimeMinutes,genres,averageRating,numVotes
tt0468569,The Dark Knight,The Dark Knight,2008,152,"Action,Crime,Drama",9.1,3143189
tt0167260,The Lord of the Rings: The Return of the King,The Lord of the Rings: The Return of the King,2003,201,"Adventure,Drama,Fantasy",9.0,2150796
tt0120737,The Lord of the Rings: The Fellowship of the Ring,The Lord of the Rings: The Fellowship of the Ring,2001,178,"Adventure,Drama,Fantasy",8.9,2191847
tt1375666,Inception,Inception,2010,148,"Action,Adventure,Sci-Fi",8.8,2794426
tt0167261,The Lord of the Rings: The Two Towers,The Lord of the Rings: The Two Towers,2002,179,"Adventure,Drama,Fantasy",8.8,1943710
tt0816692,Interstellar,Interstellar,2014,169,"Adventure,Drama,Sci-Fi",8.7,2493087
tt23849204,12th Fail,12th Fail,2023,147,"Biography,Drama",8.7,168624
tt0245429,Spirited Away,Sen to Chihiro no kamikakushi,2001,124,"Adventure,Animation,Family",8.6,958604
tt0317248,City of God,Cidade de Deus,2002,130,"Crime,Drama",8.6,866162
tt15097216,Jai Bhim,Jai Bhim,2021,164,"Crime,Drama",8.6,233330
