primaryTitle,localizedTitle,averageRating,startYear,genres,region,numVotes,language
The Shawshank Redemption,Втеча з Шоушенка,9.3,1994,Drama,UA,3165711,
The Godfather,Хрещений батько,9.2,1972,"Crime,Drama",SUHH,2211035,uk
The Dark Knight,Темний лицар,9.1,2008,"Action,Crime,Drama",UA,3143189,
The Lord of the Rings: The Return of the King,Володар перснів: Повернення короля,9.0,2003,"Adventure,Drama,Fantasy",UA,2150796,
Schindler's List,Список Шиндлера,9.0,1993,"Biography,Drama,History",UA,1576674,
The Godfather Part II,Хрещений батько 2,9.0,1974,"Crime,Drama",UA,1485660,
12 Angry Men,12 розгніваних чоловіків,9.0,1957,"Crime,Drama",UA,976564,
The Lord of the Rings: The Fellowship of the Ring,Володар перснів: Братерство персня,8.9,2001,"Adventure,Drama,Fantasy",UA,2191847,
The Message,Повідомлення,8.9,1976,"Biography,Drama,History",UA,11847,
Inception,Початок,8.8,2010,"Action,Adventure,Sci-Fi",UA,2794426,
